"Plot-Titel: KLG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309858, SEN S/N: 21309858, LBL: °C)","Intensität, Lux (LGR S/N: 21309858, SEN S/N: 21309858, LBL: Lux)"
367,08.10.22 10:23:41 PM,23.966,0.0
368,08.10.22 11:23:41 PM,22.429,0.0
369,08.11.22 12:23:41 AM,21.473,0.0
370,08.11.22 01:23:41 AM,20.615,0.0
371,08.11.22 02:23:41 AM,20.043,0.0
372,08.11.22 03:23:41 AM,19.282,0.0
373,08.11.22 04:23:41 AM,18.521,0.0
374,08.11.22 05:23:41 AM,17.855,86.1
375,08.11.22 06:23:41 AM,19.567,16533.4
376,08.11.22 07:23:41 AM,22.525,34444.7
377,08.11.22 08:23:41 AM,26.097,41333.6
378,08.11.22 09:23:41 AM,29.252,42711.4
379,08.11.22 10:23:41 AM,31.370,38578.0
380,08.11.22 11:23:41 AM,31.983,34444.7
381,08.11.22 12:23:41 PM,33.639,33066.9
382,08.11.22 01:23:41 PM,33.222,31689.1
383,08.11.22 02:23:41 PM,32.911,30311.3
384,08.11.22 03:23:41 PM,35.009,26178.0
385,08.11.22 04:23:41 PM,35.222,26178.0
386,08.11.22 05:23:41 PM,34.479,24800.2
387,08.11.22 06:23:41 PM,32.911,19977.9
388,08.11.22 07:23:41 PM,31.166,10677.8
389,08.11.22 08:23:41 PM,27.468,2497.2
390,08.11.22 09:23:41 PM,25.319,0.0
391,08.11.22 10:23:41 PM,23.966,0.0
392,08.11.22 11:23:41 PM,23.292,0.0
393,08.12.22 12:23:41 AM,21.760,0.0
394,08.12.22 01:23:41 AM,20.901,0.0
395,08.12.22 02:23:41 AM,19.662,0.0
396,08.12.22 03:23:41 AM,18.901,0.0
397,08.12.22 04:23:41 AM,18.236,0.0
398,08.12.22 05:23:41 AM,17.855,64.6
399,08.12.22 06:23:41 AM,19.758,16533.4
400,08.12.22 07:23:41 AM,23.388,34444.7
401,08.12.22 08:23:41 AM,27.764,42711.4
402,08.12.22 09:23:41 AM,30.963,42711.4
403,08.12.22 10:23:41 AM,30.659,38578.0
404,08.12.22 11:23:41 AM,31.370,34444.7
405,08.12.22 12:23:41 PM,30.862,30311.3
406,08.12.22 01:23:41 PM,32.497,13089.0
407,08.12.22 02:23:41 PM,33.639,30311.3
408,08.12.22 03:23:41 PM,32.497,30311.3
409,08.12.22 04:23:41 PM,33.326,30311.3
410,08.12.22 05:23:41 PM,34.374,13089.0
411,08.12.22 06:23:41 PM,31.472,10677.8
412,08.12.22 07:23:41 PM,31.472,15844.5
